ID=0, Sequence=501, X=-1.3148438178342E7, Y=3986007.33707501
ID=1, Sequence=502, X=-1.31740086574142E7, Y=4009260.50838627
ID=2, Sequence=503, X=-1.31726875962544E7, Y=3982107.39594684
ID=3, Sequence=504, X=-1.31532408697033E7, Y=4005783.646948
ID=4, Sequence=505, X=-1.31617948611016E7, Y=3993727.19691904
ID=5, Sequence=506, X=-1.3157693632349E7, Y=3995813.53906687
ID=6, Sequence=507, X=-1.31819205777751E7, Y=3975637.59993071
ID=7, Sequence=508, X=-1.31619746409922E7, Y=4008094.96017429
ID=8, Sequence=509, X=-1.31549905132806E7, Y=3993088.30761502
ID=9, Sequence=510, X=-1.31573790175406E7, Y=3991554.60372936
ID=10, Sequence=511, X=-1.31551173223106E7, Y=3989249.26757539
ID=11, Sequence=512, X=-1.31520787211252E7, Y=4010028.54120767
ID=12, Sequence=513, X=-1.31675125036914E7, Y=3987519.60504839
ID=13, Sequence=514, X=-1.31651705495818E7, Y=3983082.90105785
ID=14, Sequence=515, X=-1.31607916251053E7, Y=3995332.33972004
ID=15, Sequence=516, X=-1.31724066901755E7, Y=3991809.34448241
ID=16, Sequence=517, X=-1.31541205070248E7, Y=4003274.75880012
ID=17, Sequence=518, X=-1.31759958672756E7, Y=3985032.87170314
ID=18, Sequence=519, X=-1.31673407496889E7, Y=3979801.40414987
ID=19, Sequence=520, X=-1.31645316888994E7, Y=4012040.18116396
ID=20, Sequence=521, X=-1.3158539560941E7, Y=3991898.56976161
ID=21, Sequence=522, X=-1.3150640482001E7, Y=4013260.55297853
ID=22, Sequence=523, X=-1.31538476268338E7, Y=4006573.45405983
ID=23, Sequence=524, X=-1.3166881668897E7, Y=4002555.07784158
ID=24, Sequence=525, X=-1.31720455252168E7, Y=3989258.31732912
ID=25, Sequence=526, X=-1.31740407609662E7, Y=3994301.45220997
ID=26, Sequence=527, X=-1.31657644652916E7, Y=4002562.84393723
ID=27, Sequence=528, X=-1.31511926630933E7, Y=3980718.57702579
ID=28, Sequence=529, X=-1.31753634273036E7, Y=3990836.96401564
ID=29, Sequence=530, X=-1.31628751456223E7, Y=3998861.61225539
ID=30, Sequence=531, X=-1.31502825273975E7, Y=3975826.126169
ID=31, Sequence=532, X=-1.3165576659513E7, Y=4011135.9996522
ID=32, Sequence=533, X=-1.31607932302829E7, Y=3995347.86195893
ID=33, Sequence=534, X=-1.31374603687767E7, Y=4013545.58460417
ID=34, Sequence=535, X=-1.31716699136599E7, Y=3998108.57349856
ID=35, Sequence=536, X=-1.31570162474044E7, Y=3990548.62794342
ID=36, Sequence=537, X=-1.31736507028108E7, Y=3998113.74885085
ID=37, Sequence=538, X=-1.31667227563151E7, Y=3990674.04676422
ID=38, Sequence=539, X=-1.31384491581746E7, Y=4007232.53228464
ID=39, Sequence=540, X=-1.31557497622827E7, Y=3987192.57608792
ID=40, Sequence=541, X=-1.31416434615867E7, Y=4005973.97244198
ID=41, Sequence=542, X=-1.31407557983772E7, Y=4007090.09560454
ID=42, Sequence=543, X=-1.31814406296744E7, Y=4003440.44726505
ID=43, Sequence=544, X=-1.3151589141959E7, Y=3976886.32195515
ID=44, Sequence=545, X=-1.31634048542284E7, Y=4013261.84856046
ID=45, Sequence=546, X=-1.31650870803468E7, Y=3978866.22280061
ID=46, Sequence=547, X=-1.31445263605454E7, Y=3996117.53311543
ID=47, Sequence=548, X=-1.31428409240718E7, Y=3993499.57228665
ID=48, Sequence=549, X=-1.31769011874386E7, Y=4008010.786371
ID=49, Sequence=550, X=-1.31769108185042E7, Y=3994134.60475242
ID=50, Sequence=551, X=-1.31759236342839E7, Y=3998248.30884501
ID=51, Sequence=552, X=-1.31481364049544E7, Y=3999267.91180794
ID=52, Sequence=553, X=-1.31659025105646E7, Y=3975866.15611711
ID=53, Sequence=554, X=-1.31543917820382E7, Y=4001440.69866897
ID=54, Sequence=555, X=-1.31752077250769E7, Y=4013631.09550245
ID=55, Sequence=556, X=-1.31833042408611E7, Y=3993749.18363262
ID=56, Sequence=557, X=-1.31714580302174E7, Y=4008570.23024232
ID=57, Sequence=558, X=-1.31534254651265E7, Y=4006450.4476665
ID=58, Sequence=559, X=-1.31649217470547E7, Y=3997667.38345716
ID=59, Sequence=560, X=-1.31598397547922E7, Y=4012237.08993874
ID=60, Sequence=561, X=-1.3171605706556E7, Y=3986466.16620598
ID=61, Sequence=562, X=-1.31563356521045E7, Y=3988741.20018667
ID=62, Sequence=563, X=-1.31681160504668E7, Y=3981102.26156198
ID=63, Sequence=564, X=-1.3144500677704E7, Y=3981895.50928206
ID=64, Sequence=565, X=-1.31445472278542E7, Y=3977404.18817769
ID=65, Sequence=566, X=-1.31568460985793E7, Y=3989890.52523329
